trading_date,ticker,open,high,low,close,adj_close,volume
2020-08-27,IBOVESPA,100625.0,101548.0,99857.0,100624.0,100624.0,7360600
2020-08-28,IBOVESPA,100631.0,102347.0,100631.0,102143.0,102143.0,7665700
2020-08-31,IBOVESPA,102142.0,102142.0,99369.0,99369.0,99369.0,12226100
2020-09-01,IBOVESPA,99382.0,102238.0,99382.0,102168.0,102168.0,9384700
2020-09-02,IBOVESPA,102168.0,102824.0,100872.0,101911.0,101911.0,7557900
2020-09-03,IBOVESPA,101911.0,103226.0,99751.0,100721.0,100721.0,12611000
2020-09-04,IBOVESPA,100733.0,101582.0,98961.0,101242.0,101242.0,11327400
2020-09-08,IBOVESPA,101239.0,101239.0,99373.0,100050.0,100050.0,8479000
2020-09-09,IBOVESPA,100050.0,101578.0,100050.0,101292.0,101292.0,7955600
2020-09-10,IBOVESPA,101291.0,101536.0,98687.0,98835.0,98835.0,8894600
2020-09-11,IBOVESPA,98839.0,99435.0,97758.0,98363.0,98363.0,9107900
2020-09-14,IBOVESPA,98367.0,100520.0,98367.0,100275.0,100275.0,8182100
2020-09-15,IBOVESPA,100277.0,100949.0,99647.0,100298.0,100298.0,9216700
2020-09-16,IBOVESPA,100299.0,100663.0,99663.0,99676.0,99676.0,7139400
2020-09-17,IBOVESPA,99674.0,100251.0,98562.0,100098.0,100098.0,0
